N,Triton (GB/s),Torch (GB/s)
1024.000000,183.402983,131.006500
1536.000000,220.866508,122.701060
2048.000000,222.911559,119.882925
2560.000000,204.799990,113.371011
3072.000000,179.824387,104.126402
3584.000000,150.106995,102.073426
4096.000000,123.019359,103.206302
4608.000000,158.473192,99.450439
5120.000000,133.628768,98.778132
5632.000000,115.682698,96.671566
6144.000000,106.852172,97.085374
6656.000000,103.079347,96.175198
7168.000000,101.433963,97.489270
7680.000000,100.905683,91.959557
8192.000000,100.600527,99.812099
8704.000000,115.062519,95.318297
9216.000000,107.684516,94.973340
9728.000000,104.884099,96.310622
10240.000000,103.276777,94.809102
10752.000000,102.294076,95.502588
11264.000000,102.013588,94.893753
11776.000000,101.743367,95.478056
12288.000000,101.608391,96.765828
12800.000000,101.588875,93.536448
13312.000000,101.560778,94.912255
13824.000000,101.458615,91.447942
14336.000000,101.438635,93.492477
14848.000000,101.374061,93.585977
15360.000000,101.333450,93.186509
15872.000000,101.202975,93.217266
